Term,Error,Base
1,0.639222743,B1
2,0.312397868,B1
4,0.06716622,B1
8,9.47E-03,B1
16,0.014557705,B1
32,0.014577662,B1
64,0.014577662,B1
128,0.014577662,B1
256,0.014577662,B1
1,0.987014212,B2
2,0.756190149,B2
4,0.286593772,B2
8,0.040300264,B2
16,0.000441972,B2
32,0.000374898,B2
64,0.000375228,B2
128,0.000375228,B2
256,3.75E-04,B2
1,0.999986089,B3
2,0.989925475,B3
4,0.591834991,B3
8,0.120761246,B3
16,0.004968517,B3
32,5.45E-05,B3
64,6.32E-05,B3
128,6.32E-05,B3
256,6.32E-05,B3
1,0.999999999,B4
2,0.999989633,B4
4,0.969447904,B4
8,0.390330041,B4
16,0.042169136,B4
32,4.92E-04,B4
64,2.49E-07,B4
128,3.16E-07,B4
256,3.16E-07,B4
1,1,B5
2,1,B5
4,0.999995104,B5
8,0.906865715,B5
16,0.205765644,B5
32,0.008755918,B5
64,1.59E-05,B5
128,1.93E-10,B5
256,2.45E-10,B5
1,0.002288877,B1L
2,0.002288877,B1L
4,0.002288877,B1L
8,0.002288877,B1L
16,0.002288877,B1L
32,0.002288877,B1L
64,0.002288877,B1L
128,0.002288877,B1L
256,0.002288877,B1L
1,0.000115814,B2L
2,0.000115814,B2L
4,0.000115814,B2L
8,0.000115814,B2L
16,0.000115814,B2L
32,0.000115814,B2L
64,0.000115814,B2L
128,0.000115814,B2L
256,0.000115814,B2L
1,1.14E-05,B3L
2,1.14E-05,B3L
4,1.14E-05,B3L
8,1.14E-05,B3L
16,1.14E-05,B3L
32,1.14E-05,B3L
64,1.14E-05,B3L
128,1.14E-05,B3L
256,1.14E-05,B3L
1,5.58E-08,B4L
2,5.58E-08,B4L
4,5.58E-08,B4L
8,5.58E-08,B4L
16,5.58E-08,B4L
32,5.58E-08,B4L
64,5.58E-08,B4L
128,5.58E-08,B4L
256,5.58E-08,B4L
1,3.89E-11,B5L
2,3.89E-11,B5L
4,3.89E-11,B5L
8,3.89E-11,B5L
16,3.89E-11,B5L
32,3.89E-11,B5L
64,3.89E-11,B5L
128,3.89E-11,B5L
256,3.89E-11,B5L
1,0.639222743,B1Conv
2,0.319611372,B1Conv
3,0.159805686,B1Conv
5,0.039951421,B1Conv
7,0.009987855,B1Conv
10,0.001248482,B1Conv
20,1.22E-06,B1Conv
30,1.19E-09,B1Conv
50,1.14E-15,B1Conv
70,1.08E-21,B1Conv
100,1.01E-30,B1Conv
200,7.96E-61,B1Conv
300,6.28E-91,B1Conv
1,0.987014212,B2Conv
2,0.605616728,B2Conv
3,0.371597103,B2Conv
5,0.139901133,B2Conv
7,0.052670828,B2Conv
10,0.01216728,B2Conv
20,9.20E-05,B2Conv
30,6.96E-07,B2Conv
50,3.98E-11,B2Conv
70,2.28E-15,B2Conv
100,9.86E-22,B2Conv
200,6.04E-43,B2Conv
300,3.70E-64,B2Conv
1,0.999986089,B3Conv
2,0.672108134,B3Conv
3,0.451735628,B3Conv
5,0.204067916,B3Conv
7,0.092186031,B3Conv
10,0.027989858,B3Conv
20,0.000526566,B3Conv
30,9.91E-06,B3Conv
50,3.51E-09,B3Conv
70,1.24E-12,B3Conv
100,8.26E-18,B3Conv
200,4.59E-35,B3Conv
300,2.55E-52,B3Conv
2,0.999999999,B4Conv
3,0.757174016,B4Conv
5,0.573312492,B4Conv
7,0.328687213,B4Conv
10,0.188440485,B4Conv
20,0.08180151,B4Conv
30,0.00506662,B4Conv
50,0.000313816,B4Conv
70,1.20E-06,B4Conv
100,4.62E-09,B4Conv
200,1.10E-12,B4Conv
300,9.12E-25,B4Conv
3,1,B5Conv
5,0.820933639,B5Conv
7,0.67393204,B5Conv
10,0.454184394,B5Conv
20,0.306089415,B5Conv
30,0.169345035,B5Conv
50,0.023542522,B5Conv
70,0.003272906,B5Conv
100,6.33E-05,B5Conv
200,1.22E-06,B5Conv
300,3.28E-09,B5Conv
